2017-05-30 01:46:23.121080	/	633003
2017-05-30 02:46:23.215659	/	633054
2017-05-30 03:46:23.284858	/	633169
2017-05-30 04:46:23.334594	/	633369
2017-05-30 05:46:23.421804	/	633502
2017-05-30 06:46:23.498967	/	633536
2017-05-30 07:46:23.582395	/	633641
2017-05-30 08:46:23.617343	/	633784
2017-05-30 09:46:23.706355	/	633861
2017-05-30 10:46:23.807767	/	633953
2017-05-30 11:46:23.875853	/	633798
2017-05-30 12:46:23.977011	/	633779
2017-05-30 13:46:24.073694	/	633845
2017-05-30 14:46:24.134389	/	633905
2017-05-30 15:46:24.235829	/	633970
2017-05-30 16:46:24.302390	/	634023
2017-05-30 17:46:24.402156	/	634055
2017-05-30 18:46:24.501446	/	634123
2017-05-30 19:46:24.546588	/	634157
2017-05-30 20:46:24.624602	/	634198
2017-05-30 21:46:24.698388	/	634245
2017-05-30 22:46:24.786251	/	634341
2017-05-30 23:46:24.884504	/	634267
2017-05-31 00:46:24.986330	/	634324
2017-05-31 01:46:25.026603	/	634379
2017-05-31 02:46:25.105212	/	634439
2017-05-31 03:46:25.206173	/	634528
2017-05-31 04:46:25.262089	/	634635
2017-05-31 05:46:25.350096	/	634748
2017-05-31 06:46:25.443017	/	634853
2017-05-31 07:46:25.482288	/	634927
2017-05-31 08:46:25.582186	/	634991
2017-05-31 09:46:25.683072	/	635070
2017-05-31 10:46:25.770456	/	635174
2017-05-31 11:46:25.814077	/	635264
2017-05-31 12:46:25.909879	/	635354
2017-05-31 13:46:25.987903	/	635417
2017-05-31 14:46:25.999463	/	635506
2017-05-31 15:46:26.062415	/	635582
2017-05-31 16:46:26.109240	/	635660
2017-05-31 17:46:26.186502	/	635731
2017-05-31 18:46:26.201586	/	635804
2017-05-31 19:46:26.263625	/	635843
2017-05-31 20:46:26.328318	/	635886
2017-05-31 21:46:26.381486	/	635928
2017-05-31 22:46:31.124503	/	635979
2017-05-31 23:46:39.086901	/	636025
2017-06-01 00:47:54.328276	/	636068
2017-06-01 01:47:54.431487	/	636100
2017-06-01 02:47:54.985694	/	636174
2017-06-01 03:47:56.385487	/	636236
2017-06-01 04:47:56.461797	/	636421
2017-06-01 05:47:56.562917	/	636540
2017-06-01 06:47:56.662064	/	636654
2017-06-01 07:47:56.666042	/	636791
2017-06-01 08:47:56.763575	/	636955
2017-06-01 09:47:56.863928	/	637040
2017-06-01 10:47:56.955813	/	637153
2017-06-01 11:47:57.004163	/	637314
2017-06-01 12:47:57.022665	/	637479
2017-06-01 13:47:57.030407	/	637615
2017-06-01 14:47:57.114892	/	637699
2017-06-01 15:47:57.118436	/	637777
2017-06-01 16:47:57.219817	/	637846
2017-06-01 17:47:57.286763	/	637900
2017-06-01 18:47:57.385002	/	637962
2017-06-01 19:47:57.470891	/	638017
2017-06-01 20:47:57.517595	/	638063
2017-06-01 21:47:57.618220	/	638100
2017-06-01 22:47:57.708897	/	638166
2017-06-01 23:47:57.803184	/	637944
2017-06-02 00:47:57.894550	/	637988
2017-06-02 01:47:57.916255	/	638023
2017-06-02 02:47:57.929401	/	638079
2017-06-02 03:47:57.939032	/	638192
2017-06-02 04:47:57.989444	/	638287
2017-06-02 05:47:58.077807	/	638396
2017-06-02 06:47:58.138880	/	638479
2017-06-02 07:47:58.241624	/	638552
2017-06-02 08:47:58.336146	/	638658
2017-06-02 09:47:58.356235	/	638743
2017-06-02 10:47:58.456051	/	638854
2017-06-02 11:47:58.557360	/	638947
2017-06-02 12:47:58.566161	/	639026
2017-06-02 13:47:58.669265	/	639113
2017-06-02 14:47:58.736162	/	639206
2017-06-02 15:47:58.807755	/	639248
2017-06-02 16:47:58.860252	/	639314
2017-06-02 17:47:58.961552	/	639394
2017-06-02 18:47:59.047985	/	639446
2017-06-02 19:47:59.116163	/	639478
2017-06-02 20:47:59.179343	/	639501
2017-06-02 21:47:59.280540	/	639523
2017-06-02 22:47:59.308377	/	639546
2017-06-02 23:47:59.321234	/	639583
2017-06-03 00:47:59.413345	/	639614
2017-06-03 01:47:59.514721	/	639643
2017-06-03 02:47:59.615960	/	639665
2017-06-03 03:47:59.705589	/	639695
2017-06-03 04:47:59.763723	/	639721
2017-06-03 05:47:59.850407	/	639784
2017-06-03 06:47:59.943127	/	639847
2017-06-03 07:48:00.033872	/	639870
2017-06-03 08:48:00.047420	/	639892
2017-06-03 09:48:00.104392	/	639938
2017-06-03 10:48:00.183659	/	639981
2017-06-03 11:48:00.185410	/	640018
2017-06-03 12:48:00.264590	/	640052
2017-06-03 13:48:00.342424	/	640082
2017-06-03 14:48:00.420769	/	640117
